ContinenteNum;cases
3;746
3;298
3;113
3;63
3;202
3;135
3;200
3;210
3;234
3;235
3;119
3;202
3;400
3;272
3;0
3;228
3;214
3;0
3;200
3;185
3;246
3;252
3;154
3;232
3;282
3;0
3;383
3;65
3;163
3;205
3;66
3;360
3;146
3;0
3;224
3;80
3;126
3;58
3;40
3;121
3;86
3;95
3;132
3;76
3;157
3;123
3;0
3;113
3;199
3;65
3;81
3;61
3;116
3;135
3;88
3;87
3;59
3;68
3;47
3;0
3;32
3;66
3;129
3;96
3;0
3;10
3;77
3;68
3;62
3;145
3;44
3;7
3;5
3;17
3;14
3;15
3;12
3;0
3;35
3;6
3;16
3;25
3;71
3;30
3;0
3;125
3;47
3;0
3;17
3;40
3;99
3;75
3;35
3;34
3;28
3;24
3;26
3;96
3;74
3;20
3;16
3;45
3;38
3;9
3;34
3;19
3;3
3;11
3;3
3;55
3;1
3;71
3;0
3;105
3;38
3;97
3;160
3;0
3;3
3;45
3;120
3;7
3;79
3;76
3;215
3;0
3;0
3;39
3;78
3;41
3;67
3;82
3;37
3;0
3;0
3;168
3;71
3;0
3;103
3;105
3;106
3;121
3;108
3;13
3;188
3;112
3;140
3;174
3;12
3;219
3;76
3;254
3;285
3;4
3;0
3;85
3;458
3;255
3;59
3;210
3;433
3;279
3;348
3;302
3;186
3;319
3;279
3;271
3;351
3;165
3;276
3;460
3;234
3;338
3;310
3;409
3;546
3;346
3;658
3;564
3;783
3;761
3;664
3;556
3;656
3;747
3;684
3;542
3;575
3;791
3;582
3;915
3;787
3;758
3;759
3;545
3;680
3;866
3;623
3;580
3;625
3;658
3;591
3;584
3;782
3;540
3;531
3;492
3;581
3;408
3;262
3;0
3;1063
3;113
3;259
3;280
3;285
3;369
3;255
3;215
3;171
3;168
3;330
3;190
3;235
3;134
3;164
3;222
3;122
3;124
3;172
3;68
3;112
3;70
3;105
3;84
3;61
3;35
3;88
3;63
3;51
3;10
3;70
3;49
3;58
3;52
3;34
3;37
3;61
3;56
3;30
3;38
3;29
3;35
3;0
3;43
3;26
3;25
3;27
3;8
3;15
3;16
3;0
3;33
3;2
3;6
3;10
3;0
3;2
3;0
3;0
3;1
3;5
3;6
3;3
3;3
3;3
3;0
3;0
3;0
3;0
3;0
3;0
3;1
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
4;788
4;879
4;802
4;873
4;752
4;753
4;695
4;840
4;846
4;801
4;782
4;705
4;832
4;557
4;835
4;545
4;645
4;656
4;644
4;744
4;795
4;565
4;737
4;836
4;786
