cases;deaths
746;6
298;9
113;11
63;10
202;16
135;13
200;6
210;26
234;10
235;18
119;5
202;19
400;48
272;11
0;0
228;11
214;15
0;0
200;12
185;13
246;17
252;8
154;12
232;25
282;5
0;0
383;13
65;6
163;9
205;12
66;10
360;14
146;4
0;0
224;12
80;3
126;6
58;2
40;0
121;6
86;4
95;3
132;5
76;0
157;4
123;3
0;0
113;7
199;8
65;3
81;4
61;2
116;4
135;2
88;2
87;5
59;4
68;3
47;4
0;0
32;1
66;0
129;3
96;4
0;0
10;1
77;2
68;1
62;2
145;5
44;0
7;4
5;0
17;0
14;0
15;2
12;3
0;0
35;0
6;2
16;0
25;5
71;2
30;3
0;0
125;4
47;1
0;0
17;0
40;10
99;6
75;0
35;0
34;0
28;0
24;2
26;3
96;3
74;2
20;0
16;0
45;1
38;3
9;0
34;4
19;0
3;0
11;1
3;0
55;4
1;0
71;10
0;0
105;2
38;0
97;2
160;8
0;0
3;0
45;5
120;7
7;0
79;9
76;10
215;32
0;0
0;0
39;5
78;9
41;0
67;4
82;6
37;4
0;1
0;0
168;12
71;0
0;0
103;1
105;1
106;10
121;13
108;35
13;0
188;21
112;4
140;5
174;17
12;17
219;32
76;21
254;49
285;33
4;2
0;0
85;16
458;37
255;20
59;1
210;16
433;56
279;38
348;7
302;12
186;33
319;28
279;13
271;12
351;18
165;20
276;8
460;36
234;21
338;20
310;17
409;12
546;21
346;2
658;42
564;13
783;13
761;7
664;20
556;5
656;20
747;21
684;21
542;15
575;12
791;30
582;18
915;9
787;6
758;24
759;5
545;8
680;8
866;3
623;11
580;8
625;7
658;1
591;1
584;2
782;11
540;12
531;6
492;9
581;5
408;4
262;1
0;0
1063;32
113;6
259;3
280;5
285;2
369;5
255;6
215;3
171;2
168;9
330;5
190;5
235;13
134;4
164;4
222;4
122;0
124;3
172;0
68;10
112;4
70;1
105;2
84;4
61;1
35;2
88;3
63;0
51;1
10;4
70;2
49;2
58;3
52;0
34;3
37;0
61;1
56;3
30;4
38;0
29;2
35;1
0;0
43;0
26;0
25;0
27;0
8;1
15;1
16;1
0;0
33;0
2;0
6;1
10;0
0;0
2;0
0;0
0;0
1;0
5;0
6;0
3;0
3;0
3;0
0;0
0;0
0;0
0;0
0;0
0;0
1;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
788;14
879;12
802;12
873;14
752;15
753;14
695;17
840;16
846;19
801;18
782;13
705;17
832;12
557;12
835;11
545;16
645;18
656;10
644;8
744;19
795;17
565;14
737;13
836;15
786;11
711;9
694;6
602;8
597;11
532;7
490;7
410;8
507;11
563;8
525;12
501;2
495;8
489;6
421;7
396;4
381;5
321;9
327;9
241;7
319;3
275;6
311;6
284;7
288;3
299;4
302;4
306;4
302;3
297;4
301;4
295;3
281;3
273;5
289;4
257;5
203;5
182;5
171;4
168;4
165;3
167;2
169;4
162;4
158;3
144;4
149;4
152;3
159;1
157;1
131;3
127;4
132;3
106;2
108;2
124;3
134;0
121;3
131;3
150;2
159;4
153;5
125;5
132;5
144;3
152;2
167;4
168;4
164;3
161;3
156;2
151;1
147;2
151;3
153;4
135;6
123;5
116;5
122;6
93;6
133;4
101;5
84;4
112;5
156;3
168;4
154;5
178;4
152;5
156;5
152;2
155;4
158;2
155;2
119;2
120;3
143;6
146;6
154;5
141;3
140;5
125;1
136;6
124;4
135;1
127;6
139;6
130;4
101;6
123;5
120;4
79;3
92;4
108;2
117;4
117;6
126;4
67;6
104;5
108;3
68;3
119;4
81;1
82;1
102;4
55;3
99;3
85;4
96;2
117;2
83;4
93;4
90;2
82;0
68;2
74;2
71;3
74;2
67;2
90;3
82;4
45;3
69;4
64;3
72;2
61;2
77;2
78;2
67;2
52;1
68;0
36;1
53;1
50;3
66;1
50;1
82;1
69;0
57;0
48;0
31;1
44;1
42;0
36;0
17;0
14;0
20;1
15;0
13;0
20;0
21;0
6;0
15;0
23;0
23;0
26;0
21;0
25;1
6;0
9;1
8;0
12;0
5;0
15;0
1;0
2;0
13;0
17;0
18;0
18;0
4;0
4;0
4;0
12;0
6;0
8;0
10;0
12;0
17;0
8;0
6;0
7;0
9;0
7;0
16;1
14;2
10;0
14;1
34;0
15;0
29;0
25;1
25;0
22;0
14;0
9;0
21;0
24;1
19;1
8;1
21;0
13;0
17;0
7;0
9;1
17;0
6;0
16;1
28;2
29;2
27;1
18;1
16;0
20;3
11;2
15;0
11;1
12;3
28;1
23;0
23;1
11;2
13;0
6;0
0;0
11;0
4;1
4;0
9;0
4;0
5;0
10;0
12;0
1;1
4;0
4;0
2;0
464;12
517;9
542;11
565;10
598;15
591;12
573;11
750;15
772;9
803;12
843;16
932;17
963;16
968;21
1009;17
1044;21
1058;20
1085;23
1025;20
1133;15
1005;19
1088;35
1019;1
1103;15
1023;18
1038;20
1002;18
910;14
860;15
844;14
867;14
851;18
811;16
753;15
642;14
670;12
581;12
631;13
642;12
548;10
405;9
302;7
330;9
291;8
319;7
306;8
320;10
287;9
276;8
263;7
250;10
273;9
266;8
252;15
223;0
214;9
199;10
215;5
211;5
193;9
185;9
174;9
153;8
132;6
136;6
146;6
138;4
121;6
129;5
134;8
141;4
148;7
157;8
160;7
162;8
155;7
146;5
153;3
160;4
175;4
179;5
186;9
191;10
197;7
203;7
210;6
219;5
228;9
232;13
238;12
242;8
247;7
255;6
264;8
272;10
278;10
285;9
289;6
293;7
298;10
304;8
311;6
325;7
339;8
348;9
364;10
379;8
387;8
397;10
391;9
370;10
398;11
392;11
401;6
409;7
411;9
403;11
419;12
442;9
450;10
469;9
477;10
488;8
495;11
492;10
498;10
521;9
538;11
529;9
571;12
551;13
532;9
507;8
515;8
556;13
563;10
602;14
614;12
642;11
616;8
593;9
605;10
675;12
612;13
594;11
587;13
607;9
535;10
601;11
593;5
585;12
554;12
527;10
494;7
483;7
470;8
434;8
460;10
469;10
475;9
463;7
441;6
430;9
413;9
385;8
365;8
336;7
298;8
305;5
283;7
240;7
197;9
172;8
156;9
149;7
140;8
127;12
119;14
117;12
121;11
116;11
112;10
109;7
112;9
109;10
105;9
102;8
117;9
111;8
104;9
115;8
104;9
205;14
0;0
113;6
119;8
127;7
133;8
137;8
140;7
160;6
194;8
197;9
193;8
195;10
190;7
186;7
165;7
176;6
182;7
198;6
192;6
187;7
189;7
186;7
176;8
168;5
165;8
189;6
187;5
185;7
159;6
190;5
174;2
179;4
141;6
148;3
158;6
199;7
132;5
135;7
126;6
129;4
120;8
97;5
99;10
93;8
89;9
94;8
117;3
150;16
108;12
90;11
87;12
69;20
89;18
64;19
95;21
94;30
104;12
45;20
103;21
69;22
80;25
185;42
139;5
131;14
132;9
73;4
57;2
45;3
42;1
65;4
38;2
34;2
29;0
62;2
37;5
12;3
18;1
12;1
2;1
10;0
11;2
11;0
1;1
5;1
0;0
3;0
5;0
7;0
2;0
0;0
2;0
0;0
0;0
0;0
1;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
50;1
52;0
46;0
28;0
35;0
43;0
34;0
45;0
50;1
51;0
62;1
52;0
45;0
33;0
42;0
60;0
76;0
106;0
77;0
47;0
48;0
49;0
65;0
76;0
48;0
67;0
37;0
42;0
147;1
0;0
109;0
49;0
90;0
40;0
54;0
64;0
184;0
0;0
90;0
135;0
22;0
63;0
69;0
91;0
98;2
50;1
107;0
85;0
287;3
0;0
0;0
227;6
0;0
188;1
0;0
246;3
0;0
0;0
187;0
0;0
195;2
0;0
299;2
0;0
0;0
128;1
0;1
198;0
0;0
260;0
0;0
0;0
60;0
0;0
84;0
0;0
130;0
0;0
0;0
83;0
0;0
72;0
0;0
117;0
0;0
0;0
81;0
45;0
0;0
0;0
94;0
0;0
0;0
43;0
0;0
40;0
0;0
46;0
0;0
0;0
16;0
0;0
15;0
8;0
52;0
0;0
0;0
26;0
0;0
38;0
0;0
15;0
0;0
0;0
21;0
0;0
19;0
0;0
16;0
0;0
0;0
8;0
4;0
14;1
0;0
7;0
0;0
1;0
11;0
5;0
0;0
2;0
12;0
0;0
0;0
3;0
4;0
11;0
0;0
10;0
0;0
8;0
0;0
0;0
5;0
0;0
4;0
0;0
0;0
3;0
15;0
1;0
3;0
3;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
1;0
0;0
1;1
0;0
0;0
0;0
1;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
1;0
7;0
79;0
1;0
0;0
0;0
1;0
0;0
0;0
0;0
0;0
1;0
0;0
0;0
0;0
1;0
0;0
0;0
0;0
0;2
0;0
1;0
2;1
2;0
1;0
1;0
2;1
0;0
1;1
0;0
1;1
2;0
1;1
1;1
1;1
2;0
0;1
0;1
3;0
7;0
2;0
7;3
1;0
6;0
0;1
4;0
9;1
8;0
14;2
9;0
14;2
13;2
8;0
16;1
21;2
18;1
19;2
19;1
19;1
25;3
35;1
27;1
11;1
38;1
14;2
6;4
36;2
26;2
41;1
43;0
36;3
24;0
31;0
20;0
25;0
13;0
0;0
22;0
39;0
0;0
9;0
3;0
1;0
1;0
27;5
100;1
136;3
121;4
75;3
81;1
112;0
0;0
43;1
132;1
42;1
68;1
112;2
36;2
16;1
167;4
99;1
79;2
108;1
141;0
0;0
80;1
279;3
212;1
104;4
203;6
164;0
77;0
146;5
171;2
104;3
137;4
136;0
247;1
98;4
112;3
121;1
289;3
236;5
349;2
193;3
230;2
247;5
289;4
195;0
203;4
227;1
263;2
355;1
197;2
247;5
244;5
289;4
220;3
207;1
160;6
240;7
126;6
250;1
166;5
192;3
122;1
120;0
215;6
73;4
95;2
138;0
0;0
355;13
0;0
159;4
97;4
142;2
0;1
67;3
108;3
125;5
82;4
115;5
112;3
127;4
0;0
119;1
126;2
90;8
112;0
40;0
180;5
130;5
51;0
53;2
56;1
62;1
125;4
59;2
52;4
16;3
30;0
59;2
71;2
28;1
48;3
75;1
30;1
0;0
73;0
80;1
56;1
83;2
49;1
61;2
51;4
103;2
24;1
29;1
49;2
0;0
60;2
27;2
27;0
37;3
53;3
27;0
56;2
7;3
100;5
89;6
0;0
88;2
51;3
180;5
0;0
16;2
34;0
5;1
31;3
78;1
50;6
18;1
2;0
50;5
29;2
39;0
33;3
30;1
0;0
44;0
18;0
49;0
31;1
31;1
51;1
19;0
0;0
23;1
25;2
62;1
10;1
33;2
0;0
7;0
0;0
18;1
13;1
24;2
7;2
8;2
9;0
23;1
32;0
15;0
8;0
3;0
3;1
7;0
4;1
6;0
11;1
0;0
13;1
0;0
2;0
2;0
8;1
12;0
5;1
17;0
4;0
1;0
5;0
0;0
0;0
0;0
0;0
0;0
0;0
2;0
7;0
4;0
2;0
0;0
2;0
0;0
9;1
0;0
2;0
6;0
2;1
2;0
0;0
0;0
0;0
0;0
3;0
0;0
0;0
0;0
2;0
0;0
7;0
0;0
0;0
1;0
0;0
0;0
6;0
2;0
0;0
0;0
0;0
1;0
1;0
0;0
0;0
1;0
0;0
0;0
0;0
0;0
5;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
2;0
1;0
2;0
4;0
2;0
0;0
0;0
1;0
0;0
0;0
3;2
0;0
1;0
1;0
0;0
0;0
0;0
0;0
2;0
0;0
0;0
0;0
0;0
0;0
1;0
0;0
2;0
0;0
1;0
0;0
0;0
0;0
2;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
1;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
